Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
2024-07-13 04:00:00,57830.0,57847.76,57749.0,57749.0,0.13661,2024-07-13 04:59:59.999,7894.8793776,65,0.10496,6064.9862033,0
2024-07-13 05:00:00,57749.0,58082.45,57736.05,57988.43,0.14764,2024-07-13 05:59:59.999,8540.506692,100,0.10717,6200.3796714,0
2024-07-13 06:00:00,58024.73,58139.26,57927.68,58046.18,0.078,2024-07-13 06:59:59.999,4529.7136651,58,0.03895,2263.3029473,0
2024-07-13 07:00:00,58038.28,58137.63,57998.59,58120.53,0.03587,2024-07-13 07:59:59.999,2083.9003847,38,0.02538,1474.6800861,0
2024-07-13 08:00:00,58139.26,58153.74,57971.24,57971.24,0.06463,2024-07-13 08:59:59.999,3756.873943,40,0.02666,1549.1281747,0
2024-07-13 09:00:00,57970.29,58799.53,57925.31,58609.93,0.43757,2024-07-13 09:59:59.999,25613.0880641,219,0.34043,19939.1659343,0
2024-07-13 10:00:00,58658.71,58729.41,58332.35,58415.39,0.07926,2024-07-13 10:59:59.999,4630.6903695,81,0.02049,1197.8812867,0
2024-07-13 11:00:00,58383.44,58580.93,58349.42,58499.99,2.15811,2024-07-13 11:59:59.999,126247.102612,189,2.11273,123595.2077201,0
2024-07-13 12:00:00,58499.99,58846.89,58366.43,58783.49,2.45965,2024-07-13 12:59:59.999,144075.1195376,359,2.04125,119608.2803525,0
2024-07-13 13:00:00,58783.49,58815.6,58565.33,58619.4,0.94533,2024-07-13 13:59:59.999,55463.3933719,104,0.88732,52056.1514579,0
2024-07-13 14:00:00,58569.44,58764.65,58487.51,58764.65,0.83559,2024-07-13 14:59:59.999,49020.2228767,133,0.36611,21469.4498714,0
2024-07-13 15:00:00,58776.65,58854.65,58707.63,58822.18,7.2144,2024-07-13 15:59:59.999,424255.6208756,183,1.27652,75073.8778001,0
2024-07-13 16:00:00,58829.49,58994.38,58627.53,58646.0,1.21901,2024-07-13 16:59:59.999,71758.9477794,258,0.91041,53622.1404647,0
2024-07-13 17:00:00,58658.91,58707.92,58553.8,58707.19,0.61986,2024-07-13 17:59:59.999,36351.329648,96,0.2283,13398.7126582,0
2024-07-13 18:00:00,58757.67,58814.06,58566.7,58660.73,0.66007,2024-07-13 18:59:59.999,38722.204949,90,0.40849,23952.3399279,0
2024-07-13 19:00:00,58659.03,58745.99,58597.46,58647.41,0.89488,2024-07-13 19:59:59.999,52491.4657773,131,0.1239,7268.3460612,0
2024-07-13 20:00:00,58627.76,58700.0,58562.51,58583.45,1.19923,2024-07-13 20:59:59.999,70281.2347955,82,1.16911,68516.6248174,0
2024-07-13 21:00:00,58577.22,58705.35,58577.22,58625.23,0.18721,2024-07-13 21:59:59.999,10984.4350968,88,0.1175,6896.6960428,0
2024-07-13 22:00:00,58661.29,59501.39,58333.95,59435.72,3.36382,2024-07-13 22:59:59.999,198594.3433911,505,2.15394,127193.4174158,0
2024-07-13 23:00:00,59433.97,59686.95,59114.44,59238.96,4.97982,2024-07-13 23:59:59.999,296386.9911634,561,4.20222,250255.1050953,0
2024-07-14 00:00:00,59163.51,59773.4,59152.0,59593.65,6.53514,2024-07-14 00:59:59.999,387964.7970169,876,6.14421,364814.1424207,0
2024-07-14 01:00:00,59593.97,59761.79,59357.31,59658.79,3.07604,2024-07-14 01:59:59.999,183338.445544,456,2.80453,167170.3753596,0
2024-07-14 02:00:00,59682.17,59698.09,59269.11,59331.2,0.68551,2024-07-14 02:59:59.999,40744.8890068,289,0.50524,30009.5908409,0
2024-07-14 03:00:00,59349.29,59411.19,59280.52,59411.19,0.01751,2024-07-14 03:59:59.999,1039.7752295,15,0.0169,1003.6121994,0
